id,character,speaker,trigger,text,expression,acts,gameType,rematch,minRematch,losingStreak,flags,weight,once
toby-exh-start-01,toby,,exhibition_start,"Toby. I'm new too, actually. Quick one before they stack the chairs, {name}? Just for fun.",pleased,,,,,,,2,
toby-exh-start-02,toby,,exhibition_start,"Toby. I'm new too, actually. We'll be learning together. No pressure.",pleased,,,,,,,1,
toby-exh-win-01,toby,,exhibition_win,"Good game! Honestly, I got lucky. Want to go over it?",smug,,,,,,,1,
toby-exh-win-02,toby,,exhibition_win,"Beginner's luck, honestly. You'll get me next time.",smug,,,,,,,1,
toby-start-01,toby,,game_start,"No pressure, mate. Honestly, just enjoy it.",pleased,,,,,,,1,
toby-start-02,toby,,game_start,Good to see you. We should do this more often.,pleased,,,,,,,1,
toby-start-03,toby,,game_start,"Round two! No pressure, honestly.",smug,,,2,,,,2,
toby-start-04,toby,,game_start,"Third time lucky, mate. For one of us.",smug,,,,3,,,2,
toby-start-05,toby,,game_start,"Big one tonight. Whatever happens, it's all learning.",pleased,,match,,,,,2,
toby-win-01,toby,,game_win,Good game! Want to go over it?,pleased,,,,,,,1,
toby-win-02,toby,,game_win,"You were fine until the middle bit, honestly.",smug,,,,,,,1,
toby-win-03,toby,,game_win,Really enjoyed that. You're getting there.,pleased,,,,,,,1,
toby-win-04,toby,,game_win,Tough run. I'll send you my Lichess study. No worries if not.,smug,,,,,3,,3,
toby-loss-01,toby,,game_loss,So deserved. Genuinely made up for you.,annoyed,,,,,,,1,
toby-loss-02,toby,,game_loss,"Honestly, great game. I learned loads.",annoyed,,,,,,,1,
toby-loss-03,toby,,game_loss,We'll call that a learning moment for me.,annoyed,,,,,,,1,
toby-pblunder-01,toby,,player_blunder,"Ooh. No, that's fine. That's a learning moment.",smug,,,,,,,1,
toby-pblunder-02,toby,,player_blunder,"Happens to all of us, mate.",smug,,,,,,,1,
toby-bblunder-01,toby,,bot_blunder,Go on then. You've earned that one.,annoyed,,,,,,,1,
toby-queen-01,toby,,capture_queen,"Sorry, mate. Had to.",smug,,,,,,,1,
toby-check-01,toby,,check_given,Just a little check. Nothing personal.,smug,,,,,,,1,
toby-winning-01,toby,,clearly_winning,"Honestly, I think you've still got chances.",smug,,,,,,,1,
toby-losing-01,toby,,clearly_losing,"You're playing really well tonight, mate.",annoyed,,,,,,,1,
toby-castle-01,toby,,castling,Safety first. Coach always says.,neutral,,,,,,,1,
toby-strong-01,toby,,strong_move,"Oh, nice. Really nice.",surprised,,,,,,,1,
marjorie-start-first,marjorie,,game_start,"Marjorie. Forty years as secretary, so you'll see a lot of me.",pleased,1,,1,,,,3,yes
marjorie-start-01,marjorie,,game_start,"Phones off, love. Milk's on the side.",neutral,,,,,,,1,
marjorie-start-02,marjorie,,game_start,Shall we? I've put the kettle on.,pleased,,,,,,,1,
marjorie-start-03,marjorie,,game_start,"Scoresheets are on the side, dear. Graham's very particular.",neutral,,match,,,,,2,
marjorie-start-04,marjorie,,game_start,"Back again, dear? Good. It's nice to be wanted.",pleased,,,,4,,,2,
marjorie-start-name,marjorie,,game_start,"Evening, {name}. Phones off, love. Milk's on the side.",pleased,,,2,,,,1,
marjorie-cap-01,marjorie,,capture_minor,"Oh dear. I'll have that, sorry love.",pleased,,,,,,,1,
marjorie-cap-02,marjorie,,capture_rook,"Oh, I'll take that. You don't mind, do you?",pleased,,,,,,,1,
marjorie-cap-03,marjorie,,capture_queen,"Oh dear. Well. I'll put her with the others.",smug,,,,,,,1,
marjorie-winning-01,marjorie,,clearly_winning,I'll just tidy these up.,smug,,,,,,,1,
marjorie-pblunder-01,marjorie,,player_blunder,"Oh dear. Never mind, love.",pleased,,,,,,,1,
marjorie-check-01,marjorie,,check_received,"Oh. Check. How rude.",surprised,,,,,,,1,
marjorie-win-01,marjorie,,game_win,"Well played, dear. Nearly.",pleased,,,,,,,1,
marjorie-win-02,marjorie,,game_win,You'll get there. I was terrible once. Briefly.,smug,,,,,,,1,
marjorie-loss-01,marjorie,,game_loss,"Well done. I'd have played on, but it's nearly ten.",annoyed,,,,,,,1,
marjorie-loss-02,marjorie,,game_loss,"Lovely. Don't tell Graham, he'll want it on the website.",neutral,,,,,,,1,
dex-start-first,dex,,game_start,"Dex. You're new. Cool. Don't be weird about the camera.",neutral,1,,1,,,,3,yes
dex-start-01,dex,,game_start,It's not recording. Probably.,smug,,,,,,,1,
dex-start-02,dex,,game_start,Quick one? I've got a stream at nine.,neutral,,,,,,,1,
dex-start-03,dex,,game_start,This is so slow. I play bullet.,annoyed,,match,,,,,1,
dex-start-04,dex,,game_start,"Yeah, I've been studying. Don't make it weird.",neutral,,,,3,,,2,
dex-bblunder-01,dex,,bot_blunder,It's a sac. Trust me.,smug,,,,,,,1,
dex-enpassant-01,dex,,en_passant,Google en passant.,smug,,,,,,,1,
dex-pblunder-01,dex,,player_blunder,"Oh, that's going in the video.",smug,,,,,,,1,
dex-check-01,dex,,check_given,Check. Obviously.,smug,,,,,,,1,
dex-castle-01,dex,,castling,Castling. Boring. Respect.,neutral,,,,,,,1,
dex-win-01,dex,,game_win,GG. Chat's going to love that.,pleased,,,,,,,1,
dex-win-02,dex,,game_win,GG. Easy.,smug,,,,,,,1,
dex-loss-01,dex,,game_loss,Don't clip that.,annoyed,,,,,,,1,
dex-loss-02,dex,,game_loss,"That doesn't count, I was reading chat.",annoyed,,,,,,,1,
clive-start-01,clive,,game_start,"Just a quiet one tonight, I think.",neutral,,,,,,,1,
clive-start-02,clive,,game_start,Board four suits me fine.,neutral,,match,,,,,1,
clive-cap-01,clive,,capture_minor,Might as well swap those off.,neutral,,,,,,,1,
clive-cap-02,clive,,capture_rook,Tidier without them.,neutral,,,,,,,1,
clive-winning-01,clive,,clearly_winning,Funny how these things go.,neutral,,,,,,,1,
clive-losing-01,clive,,clearly_losing,"Nothing much in it, really.",neutral,,,,,,,1,
clive-check-01,clive,,check_received,Fair enough.,neutral,,,,,,,1,
clive-win-01,clive,,game_win,"I'd have taken the draw, if I were you.",neutral,,,,,,,1,
clive-loss-01,clive,,game_loss,"Well, you wanted it more.",neutral,,,,,,,1,
graham-start-01,graham,,game_start,"Scoresheet, please. Both copies.",neutral,,,,,,,1,
graham-start-02,graham,,game_start,"Subs are due, by the way. Not now. After.",neutral,,,,,,,1,
graham-start-name,graham,,game_start,"{name}. I've got you down correctly now. Scoresheet, please.",neutral,,,,2,,,1,
graham-start-03,graham,,game_start,"Under rule fourteen, phones are to be off. Not silent. Off.",neutral,,,,,,,1,
graham-start-04,graham,,game_start,"Before we start: the general meeting is on the fourteenth. Attendance is expected, not compulsory.",neutral,,,,2,,,1,
graham-start-05,graham,,game_start,"I've written to the brewery again. Recorded delivery. Right, your move. Well, mine.",neutral,,,,3,,,1,
graham-win-02,graham,,game_win,Good game. It'll go in the newsletter. Briefly.,pleased,,,,,,,1,
graham-loss-name,graham,,game_loss,"Fair result, {name}. It'll be on the website by Thursday.",annoyed,,,,,,,1,
